Cheat,NTX,NTY,NTZ,LCX,LCY,LCZ,RCX,RCY,RCZ,MEX,MEY,MEZ,Faces,Dir,NotVis,Vis ,VisCount,FirstObj,SecondObj,Tob
1,305.97,363.396,-1.89324,328.239,376.206,-22.304,276.471,355.307,1.065,306.557,342.534,-6.71583,1,6,58:38.0,58:38.0,2,1,0,0
1,315.838,377.101,-11.7295,340.145,386.962,-21.7147,287.975,362.812,3.80311,324.191,353.747,-4.54548,1,6,58:38.0,58:38.0,2,1,0,0
1,314.09,384.659,-9.86115,329.592,392.179,-20.3183,282.586,366.663,9.56993,319.332,360.401,-10.4947,1,6,58:38.0,58:38.0,2,1,0,0
1,332.804,371.467,-1.17364,347.81,380.302,-19.7145,294.646,365.215,9.44186,326.682,346.545,-14.3216,1,6,58:38.0,58:38.0,2,1,0,0
1,337.018,380.184,-1.41358,347.496,389.983,-22.4752,294.754,364.345,12.611,335.536,355.482,-18.0284,1,6,58:38.0,58:38.0,2,1,0,0
1,321.907,370.344,2.13528,327.969,377.781,-16.4311,287.279,362.162,12.1499,315.668,346.612,-17.3529,1,6,58:38.0,58:38.0,2,1,0,0
1,304.399,367.046,-3.01381,317.963,375.215,-18.9452,271.604,355.85,9.45415,301.526,343.262,-13.0519,1,6,58:38.0,58:38.0,2,1,0,0
1,319.21,364.634,3.45366,324.202,371.415,-17.0965,284.099,358.614,13.772,309.846,341.555,-19.7521,1,6,58:38.0,58:38.0,2,1,0,0
1,310.476,365.794,3.50286,315.821,371.486,-15.2797,277.418,362.217,12.2995,301.323,343.183,-17.8202,1,6,58:38.0,58:38.0,2,1,0,0
1,311.005,372.717,-7.75642,323.528,374.645,-17.9949,276.003,361.839,12.0454,307.098,345.264,-13.4792,1,6,58:38.0,58:38.0,2,1,0,0
1,301.681,376.283,-7.64883,324.697,392.594,-22.6211,275.092,358.198,2.83693,312.517,353.195,-5.73774,1,6,58:38.0,58:38.0,2,1,0,0
1,309.144,374.02,-2.24451,328.149,384.257,-18.709,274.64,364.11,5.66786,308.168,346.765,-9.85427,1,6,58:38.0,58:38.0,2,1,0,0
1,305.671,364.804,2.49571,315.487,370.892,-17.3663,266.979,364.827,10.871,291.323,339.857,-16.4479,1,6,58:38.0,58:38.0,2,1,0,0
1,328.653,360.787,-5.38817,323.538,367.29,-17.8631,288.234,370.864,25.5161,312.686,333.835,-28.1125,1,6,58:38.0,58:38.0,2,1,0,0
1,345.475,355.733,-2.18606,338.977,365.249,-11.6337,315.104,372.227,25.6654,323.368,333.62,-27.7399,1,6,58:38.0,58:38.0,2,1,0,0
1,303.923,358.84,0.651271,317.907,358.384,-18.4803,286.929,377.408,8.64081,284.697,339.856,-14.0859,1,6,58:38.0,58:38.0,2,1,0,0
1,316.624,376.348,-5.52697,336.293,389.737,-21.9019,286.372,360.005,5.03472,323.158,353.635,-8.59959,1,6,58:38.0,58:38.0,2,1,0,0
1,303.943,381.788,-10.3007,332.397,394.949,-24.4167,277.871,367.704,-1.33699,314.22,360.356,-0.925067,1,6,58:38.0,58:38.0,2,1,0,0
1,318.585,369.891,-4.35266,339.101,387.138,-21.4942,293.418,355.699,0.905024,327.891,351.294,-5.04287,1,6,58:38.0,58:38.0,2,1,0,0
